"","age","gender","is_transgender","sexual_orientation","race","birthplace","marital_status","education","hh_income","home_tenure","occupation","union_status","military","urban_rural","religion","religious_attendance","party_id_3","party_id_7","guns_in_household","voting_duty_choice_7","gov_run_by","gov_waste_3","spend_services_7","defense_spend_7","health_insurance_7","abortion_7","job_income_7","assist_black_7","fedspend_social_security_5","fedspend_public_schools_5","fedspend_border_security_5","fedspend_crime_5","fedspend_highways_5","fedspend_aid_poor_5","fedspend_environment_5","dei_7","death_penalty_4","stay_out_foreign_4","use_force_5","votes_counted_5","voter_id_7","felons_vote_7","climate_action_7","paid_leave_7","trans_bathroom_7","trans_sports_7","gay_job_protect_4","gay_adoption_6","gay_marriage_7","birthright_7","immig_children_6","border_wall_7","urban_unrest_7","ukraine_aid_7","israel_aid_7","palestinians_aid_7"
"17",75,"Woman","No","Heterosexual","Black","US state or DC","Married","Some college","$250,000+","Own/buying","Not working","No","Never served","Urban","Evangelical Protestant","Every week","Democrat","Weak Democrat",0,7,"Big interests","Waste some",6,3,7,3,3,1,2,1,5,1,5,1,2,1,3,2,4,3,2,2,6,1,7,2,1,5,7,4,6,6,7,4,1,6
"18",32,"Woman","No","Bisexual","White","US state or DC","Never married","Graduate","$60,000–$99,999","Rent","Working","Yes","Never served","Urban","Other Christian","Once or twice a month","Democrat","Weak Democrat",0,5,"Big interests","Waste a lot",7,3,1,1,1,2,1,1,3,4,3,2,1,2,4,2,4,5,7,1,1,2,2,7,1,1,1,6,5,7,1,3,7,3
"19",77,"Woman","No","Heterosexual","White","US state or DC","Married","Graduate","$30,000–$59,999","Own/buying","Not working","No","Never served","Small town","Mainline Protestant","Every week","Democrat","Strong Democrat",0,1,"Big interests","Waste some",7,2,1,2,1,2,3,1,2,3,2,1,1,4,3,3,4,5,4,1,1,1,1,7,1,1,1,7,6,7,1,2,4,1
"20",78,"Man","No","Heterosexual","White","US state or DC","Married","Bachelors","$100,000–$249,999","Own/buying","Not working","No","Previously served","Suburban","Mainline Protestant","A few times a year","Republican","Weak Republican",0,2,"Big interests","Waste a lot",4,5,4,4,4,6,2,3,2,2,2,2,3,6,4,4,3,3,1,2,4,4,4,1,1,2,2,6,6,1,5,2,1,7
"21",41,"Woman","No","Heterosexual","White","US state or DC","Married","Bachelors","$100,000–$249,999","Own/buying","Working","No","Never served","Suburban","Jewish","Almost every week","Republican","Strong Republican",0,7,"Big interests","Waste a lot",4,4,5,5,6,5,1,1,2,3,1,4,3,6,2,3,3,3,1,4,5,1,7,1,1,1,1,4,5,2,5,2,1,2
"22",52,"Man","No","Heterosexual","White","US state or DC","Divorced","Graduate","Under $9,999","Own/buying","Working","No","Never served","Suburban","Roman Catholic","Every week","Republican","Strong Republican",0,1,"Big interests","Waste a lot",3,6,7,6,7,6,5,3,1,1,2,3,5,7,1,1,4,2,1,5,4,4,7,1,2,2,4,1,2,1,7,7,1,2
"23",57,"Woman","No","Heterosexual","White","US state or DC","Married","Bachelors","$100,000–$249,999","No cash rent","Working","No","Never served","Urban","Evangelical Protestant","Every week","Republican","Strong Republican",10,7,"Big interests","Waste a lot",5,6,7,1,7,1,1,1,1,1,3,5,5,7,1,1,3,1,1,7,4,4,7,1,1,1,3,7,1,1,5,7,2,4
"24",63,"Man","No","Heterosexual","White","US state or DC","Married","Less than HS","Under $9,999","Own/buying","Working","No","Previously served","Rural","Mainline Protestant","A few times a year","Republican","Strong Republican",0,1,"Big interests","Waste a lot",4,4,4,4,4,3,3,3,2,2,3,5,3,4,1,2,4,1,2,5,6,5,4,2,3,2,6,6,2,5,4,6,1,6
"25",46,"Woman","No","Heterosexual","Asian/Pacific Islander","Other country","Never married","Bachelors","$60,000–$99,999","Own/buying","Working","Yes","Never served","Urban","Jewish","Every week","Republican","Strong Republican",0,1,"Big interests","Waste a lot",4,6,3,6,6,5,4,2,1,1,3,3,1,2,3,4,3,3,1,7,2,1,6,4,2,6,7,7,1,1,6,1,1,6
"26",60,"Woman","No","Heterosexual","Black","US state or DC","Never married","Graduate","$30,000–$59,999","Own/buying","Working","No","Never served","Suburban","Not religious","Once or twice a month","Democrat","Strong Democrat",0,1,"Big interests","Waste some",5,4,2,2,4,2,2,1,1,2,1,1,1,1,2,4,3,4,4,1,1,1,2,6,1,1,1,6,6,7,1,1,3,1
"27",69,"Woman","No","Heterosexual","White","US state or DC","Divorced","Graduate","$30,000–$59,999","Own/buying","Working","No","Never served","Urban","Other Christian","Every week","Democrat","Strong Democrat",0,2,"Big interests","Waste some",5,6,5,6,5,5,3,1,2,1,2,3,2,6,4,4,1,4,1,3,2,2,7,1,1,4,6,4,5,2,4,1,2,4
"28",42,"Woman","No","Gay/Lesbian","White","US state or DC","Married","Graduate","$100,000–$249,999","Own/buying","Working","No","Never served","Suburban","Mainline Protestant","Never","Democrat","Weak Democrat",0,4,"Big interests","Waste a lot",7,3,3,1,7,7,3,3,5,3,3,4,1,6,2,3,4,4,4,1,1,1,1,1,1,1,1,7,6,7,1,4,6,6
"29",77,"Man","No","Heterosexual","White","US state or DC","Married","Graduate","$100,000–$249,999","Own/buying","Not working","No","Never served","Suburban","Other Christian","Every week","Democrat","Strong Democrat",0,1,"Big interests","Waste some",6,4,1,2,1,1,1,1,2,1,2,1,1,1,4,4,4,3,2,2,1,1,7,1,1,3,4,7,6,7,1,1,7,1
"30",41,"Woman","No","Heterosexual","White","US state or DC","Married","Graduate","$30,000–$59,999","Rent","Working","Yes","Never served","Suburban","Not religious","Almost every week","Democrat","Strong Democrat",0,2,"Big interests","Waste a lot",7,1,1,4,1,1,1,1,4,3,2,1,1,1,4,1,4,1,1,7,1,1,1,4,1,1,1,7,6,7,1,3,7,1
"31",50,"Man","No","Heterosexual","White","US state or DC","Divorced","Some college","$60,000–$99,999","Own/buying","Working","No","Never served","Small town","Jewish","Every week","Democrat","Weak Democrat",30,7,"Big interests","Waste a lot",5,7,4,4,3,5,1,1,2,1,1,3,1,6,2,4,2,4,4,3,1,1,7,1,1,4,3,7,6,2,3,3,4,2
"32",80,"Woman","No","Heterosexual","White","US state or DC","Married","Graduate","$100,000–$249,999","Own/buying","Not working","Yes","Never served","Urban","Black Protestant","Every week","Democrat","Strong Democrat",0,1,"Big interests","Waste some",7,1,1,1,1,1,1,1,5,5,2,1,1,1,4,3,5,5,7,1,1,1,1,7,1,1,4,7,6,7,1,1,7,1
"33",43,"Woman","No","Heterosexual","White","US state or DC","Married","Graduate","$100,000–$249,999","Own/buying","Working","Yes","Never served","Other","Not religious","Almost every week","Democrat","Strong Democrat",0,1,"Big interests","Waste some",6,3,2,1,2,1,3,1,4,2,3,1,1,1,4,4,4,5,4,1,1,1,1,7,1,1,1,7,6,7,2,1,4,2
"34",37,"Woman","No","Heterosexual","Black","US state or DC","Never married","Graduate","$60,000–$99,999","Own/buying","Working","No","Never served","Urban","Evangelical Protestant","A few times a year","Democrat","Weak Democrat",0,2,"Big interests","Waste a lot",7,4,1,1,1,1,2,1,1,1,1,2,1,4,4,3,3,5,7,3,1,1,4,3,2,3,1,7,6,4,1,5,3,3
"35",65,"Woman","No","Heterosexual","White","US state or DC","Widowed","Some college","$60,000–$99,999","Own/buying","Not working","No","Never served","Rural","Other Christian","Almost every week","Democrat","Weak Democrat",3,1,"Big interests","Waste a lot",4,4,3,2,4,7,2,1,2,2,3,4,1,6,2,2,3,4,3,5,1,7,7,1,1,1,1,5,6,5,6,1,4,4
"36",64,"Woman","No","Heterosexual","White","US state or DC","Divorced","HS diploma","$30,000–$59,999","Own/buying","Not working","Yes","Never served","Urban","Mainline Protestant","A few times a year","Democrat","Strong Democrat",3,6,"Big interests","Waste a lot",1,5,4,3,5,4,3,1,1,3,2,2,1,4,2,4,3,5,1,2,1,2,4,4,1,2,2,6,5,4,5,2,4,2
"37",43,"Man","No","Heterosexual","White","US state or DC","Married","Some college","Under $9,999","Own/buying","Working","No","Never served","Small town","Other Christian","A few times a year","Republican","Strong Republican",0,1,"Big interests","Waste a lot",5,7,7,5,7,7,3,1,1,1,1,3,1,7,1,2,3,4,1,1,2,1,7,1,4,5,6,1,5,1,7,4,2,4
"38",80,"Man","No","Heterosexual","White","US state or DC","Married","Graduate","$100,000–$249,999","Own/buying","Not working","Yes","Previously served","Suburban","Other religion","Never","Democrat","Strong Democrat",0,4,"Big interests","Waste a lot",6,2,4,2,4,3,2,2,1,3,1,2,1,4,3,4,5,4,4,2,2,1,4,6,1,1,2,6,6,4,2,1,1,1
"39",74,"Woman","No","Heterosexual","Hispanic","US state or DC","Widowed","HS diploma","$250,000+","Own/buying","Working","No","Never served","Suburban","Mainline Protestant","Once or twice a month","Democrat","Strong Democrat",0,1,"Benefit of all","Waste some",4,6,3,3,6,5,1,2,2,2,2,2,2,4,3,4,4,5,1,3,1,4,4,4,1,2,4,7,6,7,1,1,1,1
"40",74,"Woman","No","Heterosexual","White","US state or DC","Married","Some college","$60,000–$99,999","Own/buying","Not working","No","Never served","Urban","Evangelical Protestant","Every week","Republican","Strong Republican",0,1,"Big interests","Waste a lot",2,7,5,6,5,5,3,2,1,1,1,3,5,7,1,4,5,3,1,7,5,7,7,1,4,6,7,1,1,1,4,2,1,2
"41",47,"Woman","No","Heterosexual","White","US state or DC","Divorced","Bachelors","$60,000–$99,999","Own/buying","Working","No","Never served","Small town","Mainline Protestant","Almost every week","Democrat","Weak Democrat",0,7,"Big interests","Waste some",5,4,3,5,5,4,3,1,1,3,2,3,1,2,2,3,3,5,2,5,2,1,4,2,1,2,4,3,5,4,4,2,2,2
"42",49,"Woman","No","Heterosexual","Black","US state or DC","Never married","Some college","$10,000–$29,999","Rent","Not working","No","Never served","Urban","Jewish","A few times a year","Democrat","Weak Democrat",0,6,"Big interests","Waste some",7,4,1,1,1,1,1,1,3,1,4,1,1,4,2,3,3,3,4,4,4,2,4,4,2,3,3,4,5,4,1,4,4,4
"43",54,"Woman","No","Heterosexual","Hispanic","US state or DC","Never married","Some college","$60,000–$99,999","Own/buying","Working","No","Never served","Urban","Jewish","Once or twice a month","Democrat","Strong Democrat",0,1,"Big interests","Waste a lot",2,7,3,1,2,7,1,1,3,1,1,2,1,3,1,2,4,3,1,1,1,1,4,1,1,1,1,7,6,7,1,1,7,2
"44",59,"Woman","No","Heterosexual","White","US state or DC","Married","HS diploma","$60,000–$99,999","Own/buying","Working","Yes","Never served","Suburban","Other Christian","Almost every week","Republican","Strong Republican",2,1,"Big interests","Waste some",5,6,4,1,4,7,3,3,1,1,1,3,2,4,2,2,2,3,1,1,1,1,7,7,1,1,2,7,2,1,7,4,2,3
"45",32,"Woman","No","Heterosexual","White","US state or DC","Married","Bachelors","$250,000+","Own/buying","Working","No","Never served","Suburban","Mainline Protestant","A few times a year","Republican","Weak Republican",0,7,"Big interests","Waste a lot",3,4,4,3,6,4,3,2,2,3,2,5,3,6,2,2,3,3,1,2,4,1,6,1,2,1,1,3,4,4,5,4,4,4
"46",38,"Woman","No","Heterosexual","White","US state or DC","Never married","Graduate","$250,000+","Own/buying","Working","No","Never served","Suburban","Mainline Protestant","A few times a year","Republican","Weak Republican",0,6,"Big interests","Waste a lot",5,4,2,1,5,6,3,2,1,2,5,3,3,6,1,4,3,3,1,1,4,1,4,2,1,2,1,4,5,2,6,2,4,4
"47",28,"Woman","No","Heterosexual","White","US state or DC","Married","Graduate","$100,000–$249,999","Own/buying","Working","No","Never served","Suburban","Other Christian","Once or twice a month","Republican","Weak Republican",2,2,"Big interests","Waste a lot",4,5,5,5,5,7,3,1,1,1,1,4,3,6,2,4,2,2,1,4,6,6,1,2,4,1,4,6,1,1,5,6,4,4
"48",79,"Man","No","Heterosexual","White","US state or DC","Widowed","HS diploma","$30,000–$59,999","Own/buying","Working","No","Previously served","Urban","Roman Catholic","Every week","Democrat","Weak Democrat",0,5,"Big interests","Waste some",5,5,1,2,3,2,2,2,3,3,3,3,3,4,3,4,3,4,5,2,1,4,4,3,1,2,6,6,6,6,3,1,1,1
"49",80,"Woman","No","Heterosexual","White","US state or DC","Widowed","Graduate","$30,000–$59,999","Own/buying","Not working","No","Never served","Urban","Evangelical Protestant","Every week","Republican","Strong Republican",1,1,"Big interests","Waste a lot",4,7,7,6,7,6,2,2,1,1,1,3,2,4,1,4,1,2,1,7,2,1,7,7,3,6,7,7,1,1,7,1,1,7
"50",54,"Woman","No","Heterosexual","Hispanic","US state or DC","Never married","Some college","$100,000–$249,999","Rent","Working","No","Never served","Suburban","Other Christian","A few times a year","Democrat","Weak Democrat",4,1,"Big interests","Waste a lot",4,4,4,1,4,3,1,1,2,1,2,1,1,1,1,3,3,5,2,1,1,1,1,7,1,1,1,7,6,7,1,1,4,1
"51",80,"Woman","No","Heterosexual","White","Other country","Widowed","Bachelors","$30,000–$59,999","Own/buying","Not working","No","Never served","Urban","Roman Catholic","Every week","Democrat","Strong Democrat",0,6,"Big interests","Waste some",4,4,4,4,4,3,3,2,3,3,2,2,2,3,4,4,3,3,4,2,4,3,2,4,1,2,2,6,6,4,1,1,4,2
"52",49,"Woman","No","Heterosexual","White","US state or DC","Divorced","Graduate","$100,000–$249,999","Own/buying","Working","Yes","Never served","Suburban","Not religious","A few times a year","Democrat","Strong Democrat",0,4,"Big interests","Waste some",6,2,2,1,3,1,1,1,3,1,2,2,2,4,1,2,4,4,4,5,4,4,2,4,1,1,1,4,5,6,1,4,4,4
"53",41,"Woman","No","Heterosexual","White","US state or DC","Married","Some college","$100,000–$249,999","Own/buying","Working","No","Never served","Rural","Jewish","Every week","Republican","Strong Republican",5,4,"Big interests","Waste a lot",3,5,7,7,7,7,2,1,1,2,3,4,3,6,3,3,3,2,1,4,4,4,7,1,2,2,4,4,5,2,7,4,4,4
"54",40,"Man","No","Heterosexual","White","US state or DC","Married","Some college","$100,000–$249,999","Own/buying","Working","No","Never served","Rural","Jewish","Every week","Republican","Weak Republican",22,2,"Big interests","Waste a lot",3,7,7,7,7,4,2,3,1,1,1,3,4,7,1,2,4,2,1,5,6,2,7,1,1,6,7,7,5,1,5,4,1,1
"55",61,"Woman","No","Heterosexual","White","US state or DC","Never married","HS diploma","$250,000+","Own/buying","Not working","No","Never served","Rural","Evangelical Protestant","Once or twice a month","Republican","Strong Republican",3,1,"Big interests","Waste a lot",2,6,6,4,3,1,1,1,1,2,2,1,3,4,1,4,2,1,4,7,6,1,7,4,4,6,7,4,4,1,4,3,4,4
"56",64,"Woman","No","Heterosexual","White","US state or DC","Married","Some college","$60,000–$99,999","Own/buying","Working","No","Never served","Rural","Mainline Protestant","A few times a year","Democrat","Weak Democrat",2,2,"Big interests","Waste some",5,4,4,1,3,3,1,1,1,1,1,2,2,4,2,2,4,5,1,4,4,1,4,4,3,1,2,4,5,7,3,4,3,4
"57",80,"Man","No","Heterosexual","Asian/Pacific Islander","Other country","Married","Graduate","$100,000–$249,999","Own/buying","Not working","No","Never served","Rural","Other Christian","Once or twice a month","Republican","Strong Republican",0,1,"Big interests","Waste a lot",1,5,6,4,4,4,4,5,1,1,4,5,5,6,2,2,3,3,1,7,7,2,7,7,4,2,4,4,5,1,7,4,4,4
"58",76,"Man","No","Heterosexual","White","US state or DC","Divorced","Some college","$30,000–$59,999","Own/buying","Not working","No","Previously served","Rural","Mainline Protestant","Every week","Republican","Strong Republican",1,1,"Big interests","Waste a lot",5,7,7,4,5,4,1,3,1,1,1,1,3,6,1,1,2,1,1,7,6,4,7,6,2,6,6,1,4,1,5,6,1,2
"59",61,"Man","No","Heterosexual","White","Other country","Never married","Graduate","$60,000–$99,999","Own/buying","Working","No","Never served","Urban","Other Christian","Every week","Republican","Weak Republican",0,4,"Benefit of all","Waste some",6,3,6,7,5,7,3,4,1,1,1,3,4,3,3,4,2,4,1,2,5,1,7,7,4,6,6,4,5,1,2,1,7,1
"60",40,"Woman","No","Heterosexual","Hispanic","US state or DC","Married","Graduate","$100,000–$249,999","Own/buying","Working","Yes","Never served","Small town","Other Christian","A few times a year","Republican","Strong Republican",0,6,"Benefit of all","Waste some",7,5,3,6,6,4,2,1,1,1,3,1,1,2,1,1,3,4,2,2,2,2,2,4,1,2,2,4,5,2,7,2,4,4
"61",65,"Woman","No","Heterosexual","Black","US state or DC","Married","Some college","$60,000–$99,999","Own/buying","Working","Yes","Never served","Rural","Roman Catholic","Once or twice a month","Democrat","Strong Democrat",0,1,"Big interests","Waste some",4,3,1,3,4,3,1,1,3,1,1,1,1,1,4,4,1,4,1,1,1,1,4,4,1,5,7,7,6,6,1,2,2,1
"62",62,"Man","No","Heterosexual","White","US state or DC","Married","Graduate","$100,000–$249,999","Own/buying","Working","Yes","Never served","Urban","Other Christian","Almost every week","Republican","Strong Republican",2,1,"Big interests","Waste a lot",3,6,7,4,7,7,1,3,1,1,2,5,5,7,1,3,2,1,1,7,7,1,7,1,2,6,7,1,1,1,7,6,1,7
"63",80,"Man","No","Heterosexual","White","US state or DC","Married","Graduate","$100,000–$249,999","Own/buying","Not working","No","Previously served","Rural","Roman Catholic","Almost every week","Republican","Strong Republican",4,1,"Benefit of all","Waste a lot",3,6,5,3,6,2,3,3,1,1,3,3,5,7,3,4,2,3,1,2,6,6,7,1,1,2,4,1,5,1,6,2,1,4
"64",76,"Man","No","Heterosexual","Hispanic","US state or DC","Married","Some college","$30,000–$59,999","Own/buying","Not working","No","Never served","Urban","Other Christian","Almost every week","Democrat","Strong Democrat",0,7,"Benefit of all","Waste some",5,7,1,1,4,4,2,1,1,2,1,1,1,4,4,4,3,4,7,4,1,1,4,4,1,2,2,2,5,6,1,1,4,2
"65",27,"Woman","No","Heterosexual","White","US state or DC","Never married","Bachelors","$30,000–$59,999","Own/buying","Working","No","Never served","Suburban","Other Christian","Almost every week","Democrat","Strong Democrat",0,2,"Big interests","Waste some",6,4,1,1,1,1,3,2,3,3,2,1,1,2,2,3,4,3,3,1,1,1,4,4,1,1,1,7,5,4,2,6,6,3
"66",58,"Man","No","Heterosexual","White","US state or DC","Married","HS diploma","$100,000–$249,999","No cash rent","Working","No","Never served","Small town","Evangelical Protestant","Once or twice a month","Republican","Strong Republican",3,1,"Big interests","Waste a lot",4,7,6,5,6,5,1,3,1,1,1,3,3,6,1,2,4,3,1,2,6,2,1,1,1,1,4,6,5,1,6,7,1,4
"67",74,"Woman","No","Heterosexual","White","US state or DC","Widowed","Graduate","$60,000–$99,999","Own/buying","Not working","No","Never served","Suburban","Jewish","Every week","Democrat","Strong Democrat",2,1,"Benefit of all","Waste some",6,5,3,2,4,3,3,1,3,1,3,1,1,2,2,4,3,4,2,2,1,2,4,4,1,1,1,6,6,6,4,2,2,4
"68",27,"Woman","No","Heterosexual","Hispanic","Other country","Widowed","Some college","$30,000–$59,999","Rent","Working","No","Never served","Urban","Evangelical Protestant","Almost every week","Democrat","Strong Democrat",0,7,"Big interests","Waste a lot",7,7,1,1,1,1,1,1,5,1,1,1,1,4,1,4,1,2,1,2,3,6,7,4,2,1,2,7,6,7,7,1,2,4
"69",31,"Man","No","Heterosexual","White","US state or DC","Never married","Some college","$30,000–$59,999","Rent","Working","No","Never served","Suburban","Other Christian","Almost every week","Republican","Strong Republican",0,1,"Big interests","Waste a lot",3,3,6,6,6,4,2,2,1,1,1,3,4,4,1,4,3,4,1,7,4,4,7,1,2,3,2,1,4,1,4,2,1,1
"70",66,"Man","No","Heterosexual","White","US state or DC","Married","Bachelors","$100,000–$249,999","Own/buying","Not working","No","Never served","Rural","Jewish","A few times a year","Republican","Strong Republican",25,1,"Big interests","Waste a lot",1,5,7,5,6,7,3,5,1,1,2,5,3,7,1,3,3,3,1,4,7,4,7,7,2,5,4,1,3,1,7,4,1,6
"71",56,"Man","No","Heterosexual","White","US state or DC","Married","Bachelors","$100,000–$249,999","Own/buying","Working","No","Never served","Suburban","Jewish","Every week","Republican","Weak Republican",1,1,"Big interests","Waste some",5,2,5,1,7,7,3,1,3,3,1,3,2,5,4,4,4,5,4,1,2,5,7,1,3,4,4,7,6,7,1,1,4,4
"72",80,"Woman","No","Heterosexual","White","US state or DC","Widowed","Graduate","$100,000–$249,999","Own/buying","Not working","No","Never served","Suburban","Evangelical Protestant","Every week","Republican","Strong Republican",0,1,"Big interests","Waste a lot",5,6,7,6,5,3,1,1,1,1,1,3,3,5,3,3,3,2,1,3,2,1,7,1,2,2,7,7,4,1,5,3,3,3
"73",68,"Man","No","Heterosexual","White","US state or DC","Married","Some college","$60,000–$99,999","Own/buying","Working","No","Never served","Suburban","Other Christian","A few times a year","Democrat","Strong Democrat",0,1,"Big interests","Waste some",5,5,4,2,4,4,3,2,2,2,3,3,2,4,1,4,3,4,1,4,1,2,5,4,3,2,1,4,5,4,4,2,4,4
"74",38,"Woman","No","Heterosexual","Black","US state or DC","Never married","Some college","$10,000–$29,999","Own/buying","Working","No","Never served","Urban","Black Protestant","A few times a year","Democrat","Strong Democrat",1,7,"Big interests","Waste a lot",7,6,1,1,1,1,1,1,1,1,1,1,1,2,1,2,4,3,1,2,1,1,7,1,1,3,7,6,5,1,1,7,7,2
"75",44,"Man","No","Heterosexual","White","US state or DC","Married","Graduate","$250,000+","Own/buying","Working","No","Never served","Urban","Jewish","Almost every week","Democrat","Strong Democrat",0,3,"Big interests","Waste some",5,2,2,1,2,1,3,1,3,4,3,1,1,1,4,4,4,5,7,1,1,2,1,7,1,1,1,7,6,7,1,1,7,1
